Age,DailyRate,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
34,546,10,3,0.1515837104072398,2,1,83,3,1,0.24338624338624337,2,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30,1176,20,3,0.13846153846153847,3,1,85,3,2,0.08928571428571429,1,9957,9096,0,0,15,3,3,1,7,1,2,6,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
37,671,19,3,0.1515837104072398,3,1,85,3,2,0.08928571428571429,3,5768,26493,3,0,17,3,1,3,9,2,2,4,3,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
35,528,8,4,0.23958333333333334,3,1,100,3,1,0.19047619047619047,3,4323,7108,1,0,17,3,2,0,6,2,1,5,4,1,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
34,426,10,4,0.1515837104072398,3,1,42,4,2,0.08928571428571429,4,4724,17000,1,0,13,3,1,1,9,3,3,9,7,7,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,1115,1,4,0.1515837104072398,1,1,51,2,2,0.08928571428571429,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,867,9,2,0.1274787535410765,1,1,87,3,2,0.08928571428571429,1,5151,12315,1,0,25,4,4,1,10,3,3,10,0,7,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
32,964,1,2,0.1515837104072398,1,1,34,1,2,0.17408906882591094,2,6735,12147,6,0,15,3,2,0,10,2,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,277,6,3,0.1515837104072398,1,1,97,2,2,0.06315789473684211,3,4240,13119,2,0,13,3,4,0,19,0,3,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
36,217,18,4,0.1515837104072398,1,1,78,3,2,0.08928571428571429,4,7779,23238,2,0,20,4,1,0,18,0,3,11,9,0,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,346,6,3,0.1515837104072398,4,1,86,3,2,0.24338624338624337,4,2450,10919,2,0,17,3,4,0,19,4,3,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
45,556,25,2,0.1515837104072398,2,0,93,2,2,0.08928571428571429,4,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28,1172,3,3,0.1274787535410765,2,0,78,3,1,0.4032258064516129,2,2856,3692,1,0,19,3,4,1,1,3,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
24,581,9,3,0.1274787535410765,3,1,62,4,1,0.16071428571428573,3,4401,17616,1,0,16,3,4,1,5,1,3,5,3,0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,874,15,3,0.1274787535410765,3,1,72,3,1,0.24338624338624337,3,2610,6233,1,0,12,3,3,1,2,5,2,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,990,7,3,0.23958333333333334,3,1,64,3,1,0.16071428571428573,3,1274,7152,1,0,13,3,2,2,1,2,2,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,1245,18,4,0.1515837104072398,4,1,58,2,5,0.030303030303030304,3,19502,2125,1,1,17,3,3,1,31,5,3,31,9,0,9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
24,1287,7,3,0.1515837104072398,1,0,55,3,1,0.24338624338624337,3,2886,14168,1,1,16,3,4,1,6,4,3,6,3,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52,994,7,4,0.1515837104072398,2,1,87,3,3,0.06315789473684211,2,10445,15322,7,0,19,3,4,0,18,4,3,8,6,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
32,379,5,2,0.1515837104072398,2,1,48,3,2,0.17408906882591094,2,6524,8891,1,0,14,3,4,1,10,3,3,10,8,5,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,1354,2,4,0.23958333333333334,2,1,41,3,1,0.16071428571428573,2,2226,6073,1,0,11,3,3,1,6,3,2,5,3,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
34,1153,1,2,0.1274787535410765,1,1,94,3,2,0.08928571428571429,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
27,591,2,3,0.1274787535410765,4,1,87,3,1,0.16071428571428573,4,2580,6297,2,0,13,3,3,0,6,0,2,4,2,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,926,21,2,0.1274787535410765,3,0,36,3,2,0.08928571428571429,3,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24,1206,17,1,0.1274787535410765,4,0,41,2,2,0.08928571428571429,3,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
38,433,1,3,0.22727272722287328,3,1,37,4,1,0.19047619047619047,3,2844,6004,1,0,13,3,4,1,7,2,4,7,6,5,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22,1136,5,3,0.1515837104072398,4,1,60,4,1,0.16071428571428573,2,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,1268,4,2,0.1515837104072398,3,0,30,3,2,0.17408906882591094,1,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
39,408,2,4,0.23958333333333334,4,0,80,2,2,0.06315789473684211,3,4553,20978,1,0,11,3,1,0,20,4,3,20,7,11,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
35,1315,22,3,0.1515837104072398,2,0,71,4,3,0.03076923076923077,2,11996,19100,7,0,18,3,2,1,10,6,2,7,7,6,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,1239,13,4,0.1274787535410765,4,1,39,3,3,0.17408906882591094,3,8628,22914,1,0,18,3,3,1,9,2,2,8,7,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,1079,10,2,0.1274787535410765,3,0,86,3,2,0.17408906882591094,4,6583,20115,2,1,11,3,4,1,8,2,3,5,2,1,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
36,796,12,5,0.1274787535410765,4,0,51,2,3,0.08928571428571429,4,8858,15669,0,0,11,3,2,0,15,2,2,14,8,7,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30,448,12,4,0.1515837104072398,2,1,74,2,1,0.4032258064516129,1,2033,14470,1,0,18,3,3,1,1,2,4,1,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
45,1015,5,5,0.1274787535410765,3,0,50,1,2,0.24338624338624337,1,5769,23447,1,1,14,3,1,0,10,3,3,10,7,1,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31,1188,20,2,0.23387096774193547,4,0,45,3,2,0.17408906882591094,3,6932,24406,1,0,13,3,4,1,9,2,2,9,8,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,1308,14,3,0.1274787535410765,3,1,44,2,5,0.030303030303030304,3,19626,17544,1,0,14,3,1,0,21,2,4,20,7,4,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46,1211,5,4,0.23387096774193547,1,1,98,3,2,0.17408906882591094,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,1356,20,2,0.23387096774193547,2,0,70,3,1,0.4032258064516129,2,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
33,117,9,3,0.1274787535410765,1,1,60,3,1,0.16071428571428573,4,2781,6311,0,0,13,3,2,1,15,5,3,14,10,4,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
34,470,2,4,0.1515837104072398,4,1,84,2,2,0.08928571428571429,1,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1079,16,4,0.23387096774193547,1,1,70,3,3,0.17408906882591094,3,8161,19002,2,0,13,3,1,3,10,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
38,1189,1,3,0.1515837104072398,4,1,90,3,2,0.16071428571428573,4,4735,9867,7,0,15,3,4,2,19,4,4,13,11,2,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
43,982,12,3,0.1515837104072398,1,1,59,2,4,0.030303030303030304,2,14336,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30,1398,22,4,0.13846153846153847,3,0,69,3,3,0.17408906882591094,1,8412,2890,0,0,11,3,3,0,10,3,3,9,8,7,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,1157,2,4,0.1274787535410765,1,1,84,1,1,0.16071428571428573,4,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1099,4,4,0.1274787535410765,1,0,82,2,1,0.24338624338624337,2,3838,8192,8,0,11,3,4,0,8,5,3,5,4,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
32,1093,6,4,0.1274787535410765,2,1,87,3,2,0.17408906882591094,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
33,1075,3,2,0.22727272722287328,4,1,57,3,1,0.19047619047619047,2,2277,22650,3,1,11,3,3,1,7,4,4,4,3,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
41,548,9,4,0.1515837104072398,3,1,94,3,1,0.24338624338624337,1,2289,20520,1,0,20,4,2,2,5,2,3,5,3,0,4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25,883,26,1,0.1274787535410765,3,0,32,3,2,0.17408906882591094,4,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
50,1246,3,3,0.1274787535410765,1,1,99,3,5,0.03076923076923077,2,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
27,486,8,3,0.1274787535410765,2,0,86,4,1,0.16071428571428573,3,3517,22490,7,0,17,3,1,0,5,0,3,3,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
20,769,9,3,0.23387096774193547,4,0,54,3,1,0.4032258064516129,4,2323,17205,1,1,14,3,2,0,2,3,3,2,2,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,531,4,4,0.23387096774193547,4,0,56,2,3,0.17408906882591094,4,10231,20364,3,0,14,3,4,0,23,3,4,21,7,15,17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
53,970,7,3,0.1515837104072398,3,1,59,4,4,0.030303030303030304,3,14814,13514,3,0,19,3,3,0,32,3,3,5,1,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
23,650,9,1,0.1274787535410765,2,1,37,3,1,0.24338624338624337,1,2500,4344,1,0,14,3,4,1,5,2,4,4,3,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28,289,2,2,0.1274787535410765,3,1,38,2,1,0.24338624338624337,1,2561,5355,7,0,11,3,3,0,8,2,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51,1405,11,2,0.23958333333333334,4,0,82,2,4,0.08928571428571429,2,13142,24439,3,0,16,3,2,0,29,1,2,5,2,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
37,1278,1,4,0.1274787535410765,3,1,31,1,2,0.17408906882591094,4,9525,7677,1,0,14,3,3,2,6,2,2,6,3,1,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
26,1384,3,4,0.1274787535410765,1,1,82,4,1,0.24338624338624337,4,4420,13421,1,0,22,4,2,1,8,2,3,8,7,0,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
40,905,19,2,0.1274787535410765,3,1,99,3,2,0.24338624338624337,4,2741,16523,8,1,15,3,3,1,15,2,4,7,2,3,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
24,477,24,3,0.1274787535410765,4,1,49,3,1,0.24338624338624337,2,3597,6409,8,0,22,4,4,0,6,2,3,4,3,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
56,1255,1,2,0.1515837104072398,1,0,90,3,1,0.16071428571428573,1,2066,10494,2,0,22,4,4,1,5,3,4,3,2,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
52,258,8,4,0.13846153846153847,3,0,54,3,1,0.24338624338624337,1,2950,17363,9,0,13,3,3,0,12,2,1,5,4,0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,601,7,4,0.1274787535410765,3,0,53,2,3,0.08928571428571429,1,10008,12023,7,1,14,3,4,0,31,0,2,10,9,5,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
43,1001,9,5,0.1274787535410765,4,1,72,3,2,0.24338624338624337,3,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,330,22,4,0.1274787535410765,4,1,98,3,2,0.08928571428571429,3,6179,21057,1,1,15,3,4,2,10,3,2,10,2,6,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
41,549,7,2,0.1274787535410765,4,0,42,3,2,0.08928571428571429,3,5003,23371,6,0,14,3,2,0,8,6,3,2,2,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31,746,8,4,0.1515837104072398,3,0,61,3,2,0.08928571428571429,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30,153,8,2,0.1515837104072398,2,0,73,4,3,0.030303030303030304,1,11416,17802,0,1,12,3,3,3,9,4,2,8,7,1,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
21,984,1,1,0.23958333333333334,4,0,70,2,1,0.16071428571428573,2,2070,25326,1,1,11,3,3,0,2,6,4,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31,154,7,4,0.1515837104072398,2,1,41,2,1,0.4032258064516129,3,2329,11737,3,0,15,3,2,0,13,2,4,7,7,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
41,840,9,3,0.1274787535410765,1,1,64,3,5,0.030303030303030304,3,19419,3735,2,0,17,3,2,1,21,2,4,18,16,0,11,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,1449,16,4,0.1274787535410765,1,1,45,3,1,0.24338624338624337,2,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
50,328,1,3,0.1274787535410765,3,1,86,2,1,0.24338624338624337,3,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
29,1247,20,2,0.23387096774193547,4,1,45,3,2,0.17408906882591094,4,6931,10732,2,0,14,3,4,1,10,2,3,3,2,0,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,335,9,2,0.1274787535410765,3,1,46,2,1,0.16071428571428573,1,2321,10322,0,1,22,4,1,0,4,0,3,3,2,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39,1253,10,1,0.1274787535410765,3,1,65,3,3,0.030303030303030304,3,13464,7914,7,0,21,4,3,0,9,3,3,4,3,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
41,1018,1,3,0.23387096774193547,3,0,66,3,2,0.17408906882591094,1,4103,4297,0,0,17,3,4,1,10,2,3,9,3,1,7,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
46,734,2,4,0.1274787535410765,3,1,46,3,5,0.030303030303030304,4,19328,14218,7,1,17,3,3,1,24,3,3,2,1,2,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
51,770,5,3,0.1515837104072398,3,1,84,3,4,0.03076923076923077,2,14026,17588,1,1,11,3,2,1,33,2,3,33,9,0,10,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
37,1373,2,2,0.13846153846153847,4,1,92,2,1,0.24338624338624337,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44,1193,2,1,0.1274787535410765,2,1,86,3,3,0.08928571428571429,3,10209,19719,5,1,18,3,2,0,16,2,2,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35,607,9,3,0.1515837104072398,4,0,66,2,3,0.08928571428571429,3,10685,23457,1,1,20,4,2,1,17,2,3,17,14,5,15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
47,1093,9,3,0.1515837104072398,3,1,82,1,4,0.17408906882591094,3,12936,24164,7,0,11,3,3,0,25,3,1,23,5,14,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,1064,2,1,0.1515837104072398,2,1,42,3,5,0.030303030303030304,4,19161,13738,3,0,15,3,4,0,28,3,3,5,4,4,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34,285,29,3,0.1274787535410765,2,1,86,3,2,0.24338624338624337,3,5429,17491,4,0,13,3,1,2,10,1,3,8,7,7,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
36,363,1,3,0.23958333333333334,3,0,77,1,3,0.08928571428571429,1,10252,4235,2,1,21,4,3,1,17,2,3,7,7,7,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
33,1283,2,3,0.23387096774193547,4,0,62,3,2,0.17408906882591094,2,5147,10697,8,0,15,3,4,0,13,2,2,11,7,1,7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,182,1,4,0.1515837104072398,2,0,72,4,1,0.16071428571428573,4,3280,13551,2,0,16,3,3,0,10,2,3,4,2,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
26,887,5,2,0.1274787535410765,3,0,88,2,1,0.16071428571428573,3,2366,20898,1,1,14,3,1,1,8,2,3,8,7,1,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,703,28,2,0.23387096774193547,1,1,66,3,2,0.17408906882591094,2,6272,7428,1,0,20,4,4,2,6,5,4,5,3,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33,516,8,5,0.1515837104072398,4,1,69,3,2,0.06315789473684211,3,6388,22049,2,1,17,3,1,0,14,6,3,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
58,350,2,3,0.1274787535410765,2,1,52,3,4,0.03076923076923077,2,16291,22577,4,0,22,4,4,1,37,0,2,16,9,14,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
29,746,2,3,0.1515837104072398,4,1,61,3,2,0.17408906882591094,3,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
32,1018,2,4,0.1274787535410765,1,0,74,4,2,0.16071428571428573,4,5055,10557,7,0,16,3,3,0,10,0,2,7,7,0,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
37,921,10,3,0.1274787535410765,3,0,98,3,1,0.24338624338624337,1,3452,17663,6,0,20,4,2,1,17,3,3,5,4,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
50,1464,2,4,0.1274787535410765,2,1,62,3,5,0.030303030303030304,3,19237,12853,2,1,11,3,4,1,29,2,2,8,1,7,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
